PC1,PC2,Loyalty Classification
0.839695856245714,-2.246225853749447,Jade
1.6055290300430602,0.9735022639901153,Jade
1.8794437281195222,0.46722072905858714,Gold
1.7618033845677108,-1.0765621816496365,Silver
0.9088910811207135,1.1490215917983901,Platinum
1.0168925537470153,-1.509204103287952,Silver
-2.829764440436346,-0.37235515688551973,Gold
-0.16736648904827658,1.441713289429349,Gold
-0.45849778608438735,-1.4643130937254372,Silver
-0.8348712967661964,0.34693916649209,Silver
-2.6039890059811395,-0.14106381215873415,Jade
-0.6864745408928847,-1.2095172711448279,Jade
-0.5607520111286514,-0.13701373078796977,Silver
0.8542533131064238,0.5688726309926073,Jade
-0.7677181059218897,0.9103706533436923,Platinum
0.5866455725661165,1.5864784622100065,Silver
3.997464738125919,-1.7343488452523523,Silver
-2.3660994531448334,-0.16654234828084089,Jade
-0.7037681242506499,0.7699325232539888,Jade
0.87476473490495,-0.7765594875616391,Jade
-2.0253988059718355,0.26659202884574307,Jade
-0.06592559182225374,0.12227842504329502,Jade
-0.3854580106303997,2.286675551508869,Jade
1.0028115998728258,-1.5450686748778981,Gold
-2.0298447537360587,-0.3746827067448133,Jade
-2.181163086219763,-0.8245164945637199,Jade
6.6834880917483535,1.6365960281347904,Silver
-1.9591608451989824,-0.16878988043051935,Jade
1.2769818527098904,0.32320678682617815,Jade
-1.0160899642784058,-0.5747095382862921,Jade
2.244610154610944,-2.5621607550985472,Jade
0.0914913850583115,-0.7158670880067272,Gold
1.414188500964598,1.292629023805332,Platinum
-1.4342102116017283,0.5620373406227812,Jade
2.3928616029239995,0.7279149426400802,Platinum
-1.3305812601284954,-0.4228215597480969,Jade
2.600825061513188,-3.2898448076112055,Gold
0.6873502658640799,-0.20720569450956217,Platinum
0.6323362479108982,-0.11969581570707245,Gold
-0.5764110424528777,-1.2380994668693388,Platinum
-0.5593852866400644,0.9188841876354491,Gold
-0.27357293570816277,0.9609828004625648,Silver
2.9199023632823855,-1.438497726948355,Silver
-2.2359372118526335,-0.5190341972409838,Jade
-1.7807236199714156,0.1251213066715627,Jade
-0.5856961970595865,0.4906636972669918,Gold
-2.898834832650743,-0.4509845870355883,Gold
2.2217499040726967,-2.148438359363046,Silver
-1.591059202391192,-0.2788840182672836,Jade
-2.3268576202803937,-0.7663431173709156,Gold
-0.8060337192655936,-0.8831516495827905,Silver
-1.6470141219177579,-0.006527588440954704,Silver
-2.457195642181288,-0.4060193869939193,Jade
2.4942744557691006,0.12515862108192885,Jade
0.3347394870319,-1.3672615222075888,Gold
-2.236854677431775,-0.06492048803427701,Jade
-2.4583828972793196,-0.24521087479732998,Jade
-1.7142701484014604,-1.06184089501714,Jade
1.4072301228806738,1.9293991718177612,Silver
-0.027842011518468265,1.4850159698470067,Jade
3.3304910446751768,1.3960997603133465,Silver
-1.2786529252274346,1.0094644388413707,Platinum
-0.5527856987773893,-0.41293751251262467,Jade
-1.6043007630185935,1.3082201824421986,Jade
0.0016010078413051284,1.311687679281754,Silver
0.5765249420506094,-0.3457769012498867,Platinum
-2.07707310845215,-0.7446640923533877,Jade
-1.2605172584502649,-0.6688030050461203,Gold
-1.7274895986203704,0.35305648569190995,Platinum
-0.35699116045786167,0.21957645285884686,Jade
-0.4920853693766246,0.4629986595884741,Gold
-2.0834406064864526,0.4702686173982493,Gold
